timestamp,Open,High,Low,Close,Volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-11-15,5.823,6.22,4.811,5.788,25465269.2,1637539199999.0,137333889.6624,383527.0,12271675.4,66241742.7341,0.0
2021-11-22,5.798,6.219,4.486,4.884,35627578.5,1638143999999.0,186771704.1353,487481.0,17480938.6,91733608.1388,0.0
2021-11-29,4.882,5.268,3.079,3.739,31708294.7,1638748799999.0,141553230.103,411291.0,15575888.4,69799389.2239,0.0
2021-12-06,3.739,4.758,3.383,3.842,33807994.9,1639353599999.0,132081407.1868,401742.0,16475750.1,64552906.013,0.0
2021-12-13,3.842,4.25,3.234,4.088,36842040.2,1639958399999.0,138498693.8418,392091.0,18323507.2,68825171.5793,0.0
2021-12-20,4.08,5.185,3.839,5.114,36099493.6,1640563199999.0,166644503.3189,456804.0,18228618.3,84248942.1994,0.0
2021-12-27,5.118,5.4,4.358,5.088,22434957.6,1641167999999.0,111393175.5336,379628.0,10832556.7,53877060.525,0.0
2022-01-03,5.08,6.05,4.38,4.669,42511214.4,1641772799999.0,216765187.8789,663988.0,20779157.4,106225044.3695,0.0
2022-01-10,4.662,5.368,4.144,4.988,38014648.4,1642377599999.0,184206396.5254,508265.0,18941083.7,91914453.9161,0.0
2022-01-17,4.994,5.018,3.011,3.336,41168890.8,1642982399999.0,160020740.4018,458048.0,19425915.7,75472240.0859,0.0
2022-01-24,3.337,3.36,2.891,3.028,28426001.4,1643587199999.0,88011640.3875,228817.0,13739266.4,42568962.4958,0.0
2022-01-31,3.026,3.428,2.896,3.363,23815374.0,1644191999999.0,75692742.8605,166422.0,11810291.4,37568405.8595,0.0
2022-02-07,3.364,3.752,2.895,2.922,37339797.6,1644796799999.0,122530759.3628,262831.0,17919976.9,58917694.325,0.0
2022-02-14,2.922,3.199,2.484,2.559,24807190.67,1645401599999.0,71522358.700664,162525.0,11703695.34,33759767.4211,0.0
2022-02-21,2.563,2.707,2.05,2.358,40777969.47,1646006399999.0,97095868.7889,238890.0,20574184.1,48976968.4394,0.0
2022-02-28,2.361,2.904,2.329,2.556,56759545.4,1646611199999.0,150627715.2418,350759.0,27544595.9,73118883.0644,0.0
2022-03-07,2.556,3.007,2.504,2.54,55022329.3,1647215999999.0,151086592.8134,350938.0,26831482.2,73777851.7478,0.0
2022-03-14,2.54,2.563,2.361,2.561,15851512.6,1647820799999.0,39038795.1869,90936.0,7526532.0,18546354.1494,0.0
